1,Black Panther,"Feb 16, 2018",Walt Disney,Action,"$700,059,566","78,044,544"
2,Avengers: Infinity War,"Apr 27, 2018",Walt Disney,Action,"$678,815,482","75,676,196"
3,Incredibles 2,"Jun 15, 2018",Walt Disney,Adventure,"$608,581,744","67,846,348"
4,Jurassic World: Fallen Kingdom,"Jun 22, 2018",Universal,Action,"$417,719,760","46,568,535"
5,Deadpool 2,"May 18, 2018",20th Century Fox,Action,"$324,512,774","36,177,567"
6,Dr. Seussâ The Grinch,"Nov 9, 2018",Universal,Adventure,"$269,622,130","30,058,208"
7,Aquaman,"Dec 21, 2018",Warner Bros.,Action,"$260,024,160","28,988,200"
8,Jumanji: Welcome to the Jungle,"Dec 20, 2017",Sony Pictures,Adventure,"$235,506,359","26,254,889"
9,Mission: ImpossibleâFallout,"Jul 27, 2018",Paramount Pictures,Action,"$220,159,104","24,543,936"
10,Ant-Man and the Wasp,"Jul 6, 2018",Walt Disney,Action,"$216,648,740","24,152,590"
11,Solo: A Star Wars Story,"May 25, 2018",Walt Disney,Adventure,"$213,767,512","23,831,383"
12,Venom,"Oct 5, 2018",Sony Pictures,Action,"$213,429,141","23,793,661"
13,A Star is Born,"Oct 5, 2018",Warner Bros.,Drama,"$202,110,097","22,531,783"
14,Bohemian Rhapsody,"Nov 2, 2018",20th Century Fox,Drama,"$193,644,966","21,588,067"
15,A Quiet Place,"Apr 6, 2018",Paramount Pictures,Horror,"$188,024,361","20,961,467"
16,Ralph Breaks The Internet,"Nov 21, 2018",Walt Disney,Adventure,"$187,152,693","20,864,291"
17,Crazy Rich Asians,"Aug 15, 2018",Warner Bros.,Romantic Comedy,"$174,530,416","19,457,125"
18,Hotel Transylvania 3: Summe…,"Jul 13, 2018",Sony Pictures,Adventure,"$167,500,092","18,673,365"
19,Halloween,"Oct 19, 2018",Universal,Horror,"$159,342,015","17,763,881"
20,Fantastic Beasts: The Crime…,"Nov 16, 2018",Warner Bros.,Adventure,"$156,781,859","17,478,468"
21,The Meg,"Aug 10, 2018",Warner Bros.,Action,"$145,443,742","16,214,464"
22,Oceanâs 8,"Jun 8, 2018",Warner Bros.,Action,"$140,218,711","15,631,963"
23,Mary Poppins Returns,"Dec 19, 2018",Walt Disney,Musical,"$138,817,262","15,475,725"
24,Ready Player One,"Mar 29, 2018",Warner Bros.,Adventure,"$137,690,172","15,350,075"
25,Spider-Man: Into The Spider…,"Dec 14, 2018",Sony Pictures,Adventure,"$133,978,231","14,936,257"
26,The Greatest Showman,"Dec 20, 2017",20th Century Fox,Musical,"$125,303,456","13,969,170"
27,Mamma Mia: Here We Go Again!,"Jul 20, 2018",Universal,Musical,"$120,634,935","13,448,710"
28,The Nun,"Sep 7, 2018",Warner Bros.,Horror,"$117,450,119","13,093,659"
29,Peter Rabbit,"Feb 9, 2018",Sony Pictures,Adventure,"$115,234,093","12,846,610"
30,Creed II,"Nov 21, 2018",MGM,Drama,"$114,296,602","12,742,096"
31,Star Wars Ep. VIII: The Las…,"Dec 15, 2017",Walt Disney,Adventure,"$102,963,014","11,478,596"
32,The Equalizer 2,"Jul 20, 2018",Sony Pictures,Action,"$102,084,362","11,380,642"
33,Rampage,"Apr 13, 2018",Warner Bros.,Action,"$101,028,233","11,262,902"
34,A Wrinkle in Time,"Mar 9, 2018",Walt Disney,Adventure,"$100,478,608","11,201,628"
35,Fifty Shades Freed,"Feb 9, 2018",Universal,Drama,"$100,407,760","11,193,730"
36,Christopher Robin,"Aug 3, 2018",Walt Disney,Adventure,"$99,215,042","11,060,762"
37,Bumblebee,"Dec 21, 2018",Paramount Pictures,Adventure,"$97,555,743","10,875,779"
38,I Can Only Imagine,"Mar 16, 2018",Roadside Attractions,Drama,"$83,482,352","9,306,839"
39,Smallfoot,"Sep 28, 2018",Warner Bros.,Adventure,"$82,976,621","9,250,459"
40,The Mule,"Dec 14, 2018",Warner Bros.,Drama,"$81,177,803","9,049,922"
41,The Post,"Dec 22, 2017",20th Century Fox,Drama,"$80,143,337","8,934,597"
42,Night School,"Sep 28, 2018",Universal,Comedy,"$77,339,130","8,621,976"
43,The First Purge,"Jul 4, 2018",Universal,Horror,"$69,488,745","7,746,794"
44,Game Night,"Feb 23, 2018",Warner Bros.,Comedy,"$69,179,066","7,712,270"
45,Book Club,"May 18, 2018",Paramount Pictures,Comedy,"$68,566,296","7,643,957"
46,The House with a Clock in i…,"Sep 21, 2018",Universal,Horror,"$68,549,695","7,642,106"
47,Skyscraper,"Jul 13, 2018",Universal,Action,"$68,420,120","7,627,661"
48,Insidious: The Last Key,"Jan 5, 2018",Universal,Horror,"$67,745,330","7,552,434"
49,Instant Family,"Nov 16, 2018",Paramount Pictures,Comedy,"$64,845,006","7,229,098"
50,Blockers,"Apr 6, 2018",Universal,Comedy,"$60,311,495","6,723,690"
51,Pacific Rim: Uprising,"Mar 23, 2018",Universal,Action,"$59,874,525","6,674,975"
52,Tomb Raider,"Mar 16, 2018",Warner Bros.,Action,"$58,250,803","6,493,958"
53,Maze Runner: The Death Cure,"Jan 26, 2018",20th Century Fox,Thriller/Suspense,"$58,032,443","6,469,615"
54,The Nutcracker and the Four…,"Nov 2, 2018",Walt Disney,Adventure,"$54,785,758","6,107,665"
55,Tag,"Jun 15, 2018",Warner Bros.,Comedy,"$54,730,625","6,101,519"
56,A Simple Favor,"Sep 14, 2018",Lionsgate,Thriller/Suspense,"$53,548,586","5,969,742"
57,Life of the Party,"May 11, 2018",Warner Bros.,Comedy,"$53,059,911","5,915,263"
58,The Predator,"Sep 14, 2018",20th Century Fox,Action,"$51,024,708","5,688,373"
59,Overboard,"May 4, 2018",Lionsgate,Romantic Comedy,"$50,316,123","5,609,378"
60,Sicario: Day of the Soldado,"Jun 29, 2018",Sony Pictures,Action,"$50,065,850","5,581,477"
61,I Feel Pretty,"Apr 20, 2018",STX Entertainment,Comedy,"$48,795,601","5,439,866"
62,BlacKkKlansman,"Aug 10, 2018",Focus Features,Thriller/Suspense,"$48,527,565","5,409,985"
63,The Shape of Water,"Dec 1, 2017",Fox Searchlight,Drama,"$48,189,258","5,372,270"
64,Red Sparrow,"Mar 2, 2018",20th Century Fox,Thriller/Suspense,"$46,874,505","5,225,697"
65,Breaking In,"May 11, 2018",Universal,Thriller/Suspense,"$46,840,590","5,221,916"
66,Goosebumps 2: Haunted Hallo…,"Oct 12, 2018",Sony Pictures,Horror,"$46,697,321","5,205,944"
67,12 Strong,"Jan 19, 2018",Warner Bros.,Drama,"$45,819,713","5,108,106"
68,Den of Thieves,"Jan 19, 2018",STX Entertainment,Action,"$44,947,622","5,010,883"
69,First Man,"Oct 12, 2018",Universal,Drama,"$44,936,545","5,009,648"
70,Hereditary,"Jun 8, 2018",A24,Horror,"$44,069,456","4,912,982"
71,Acrimony,"Mar 30, 2018",Lionsgate,Thriller/Suspense,"$43,549,096","4,854,972"
72,Sherlock Gnomes,"Mar 23, 2018",Paramount Pictures,Adventure,"$43,242,871","4,820,833"
73,Uncle Drew,"Jun 29, 2018",Lionsgate,Comedy,"$42,469,946","4,734,665"
74,Widows,"Nov 16, 2018",20th Century Fox,Thriller/Suspense,"$41,904,173","4,671,591"
75,Pitch Perfect 3,"Dec 22, 2017",Universal,Comedy,"$41,596,925","4,637,338"
76,Truth or Dare,"Apr 13, 2018",Universal,Thriller/Suspense,"$41,411,015","4,616,613"
77,Paddington 2,"Jan 12, 2018",Warner Bros.,Adventure,"$40,891,591","4,558,706"
78,"Love, Simon","Mar 16, 2018",20th Century Fox,Drama,"$40,826,341","4,551,432"
79,Darkest Hour,"Nov 22, 2017",Focus Features,Drama,"$38,310,263","4,270,932"
80,The Commuter,"Jan 12, 2018",Lionsgate,Action,"$36,343,858","4,051,712"
81,The 15:17 to Paris,"Feb 9, 2018",Warner Bros.,Drama,"$36,276,286","4,044,179"
82,Mile 22,"Aug 17, 2018",STX Entertainment,Action,"$36,108,758","4,025,502"
83,Alpha,"Aug 17, 2018",Sony Pictures,Adventure,"$35,851,379","3,996,809"
84,Peppermint,"Sep 7, 2018",STX Entertainment,Action,"$35,418,723","3,948,575"
85,Green Book,"Nov 21, 2018",Universal,Comedy,"$35,230,831","3,927,628"
86,Death Wish,"Mar 2, 2018",MGM,Action,"$34,017,028","3,792,310"
87,The Spy Who Dumped Me,"Aug 3, 2018",Lionsgate,Comedy,"$33,562,069","3,741,591"
88,Second Act,"Dec 21, 2018",STX Entertainment,Comedy,"$32,792,366","3,655,782"
89,Annihilation,"Feb 23, 2018",Paramount Pictures,Thriller/Suspense,"$32,732,301","3,649,086"
90,Isle of Dogs,"Mar 23, 2018",Fox Searchlight,Comedy,"$32,015,231","3,569,145"
91,Nobodyâs Fool,"Nov 2, 2018",Paramount Pictures,Drama,"$31,713,110","3,535,464"
92,Adrift,"Jun 1, 2018",STX Entertainment,Drama,"$31,445,011","3,505,575"
93,Ferdinand,"Dec 15, 2017",20th Century Fox,Adventure,"$30,863,663","3,440,765"
94,Robin Hood,"Nov 21, 2018",Lionsgate,Action,"$30,645,013","3,416,389"
95,Super Troopers 2,"Apr 20, 2018",20th Century Fox,Comedy,"$30,617,396","3,413,311"
96,Slender Man,"Aug 10, 2018",Sony Pictures,Horror,"$30,564,825","3,407,449"
97,Three Billboards Outside Eb…,"Nov 10, 2017",Fox Searchlight,Black Comedy,"$30,349,111","3,383,401"
98,Coco,"Nov 22, 2017",Walt Disney,Musical,"$29,891,816","3,332,420"
99,Teen Titans Go! To The Movies,"Jul 27, 2018",Warner Bros.,Adventure,"$29,790,236","3,321,097"
100,Hostiles,"Dec 22, 2017",Entertainment Stu…,Western,"$29,733,369","3,314,756"
101,Vice,"Dec 25, 2018",Annapurna Pictures,Black Comedy,"$29,727,497","3,314,102"
102,The Hate U Give,"Oct 19, 2018",20th Century Fox,Drama,"$29,668,644","3,307,541"
103,Holmes & Watson,"Dec 25, 2018",Sony Pictures,Comedy,"$28,313,749","3,156,493"
104,"I, Tonya","Dec 8, 2017",Neon,Black Comedy,"$27,663,198","3,083,968"
105,Searching,"Aug 24, 2018",Sony Pictures,Thriller/Suspense,"$26,015,149","2,900,239"
106,Winchester,"Feb 2, 2018",CBS Films,Horror,"$25,091,816","2,797,304"
107,The Strangers: Prey at Night,"Mar 9, 2018",Aviron Pictures,Horror,"$24,431,472","2,723,686"
108,White Boy Rick,"Sep 14, 2018",Sony Pictures,Drama,"$24,004,833","2,676,124"
109,Mollyâs Game,"Dec 25, 2017",STX Entertainment,Drama,"$23,403,264","2,609,059"
110,Wonât You Be My Neighbor?,"Jun 8, 2018",Focus Features,Documentary,"$22,835,787","2,545,796"
111,Overlord,"Nov 9, 2018",Paramount Pictures,Action,"$21,704,844","2,419,715"
112,The Fog,"Feb 1, 1980",Avco Embassy,Horror,"$21,445,318","2,390,782"
113,Proud Mary,"Jan 12, 2018",Sony Pictures,Action,"$20,868,638","2,326,492"
114,The Happytime Murders,"Aug 24, 2018",STX Entertainment,Black Comedy,"$20,706,452","2,308,411"
115,Phantom Thread,"Dec 25, 2017",Focus Features,Drama,"$20,670,365","2,304,389"
116,Superfly,"Jun 13, 2018",Sony Pictures,Action,"$20,537,137","2,289,535"
117,The Favourite,"Nov 23, 2018",Fox Searchlight,Black Comedy,"$19,297,628","2,151,352"
118,Escape Room,"Jan 4, 2019",Sony Pictures,Thriller/Suspense,"$18,238,172","2,033,241"
119,Bad Times at the El Royale,"Oct 12, 2018",20th Century Fox,Thriller/Suspense,"$17,839,115","1,988,753"
120,Show Dogs,"May 18, 2018",Global Road,Comedy,"$17,744,685","1,978,225"
121,Operation Finale,"Aug 29, 2018",MGM,Drama,"$17,612,099","1,963,444"
122,"Paul, Apostle of Christ","Mar 23, 2018",Sony Pictures,Drama,"$17,547,999","1,956,298"
123,Lady Bird,"Nov 3, 2017",A24,Drama,"$17,525,810","1,953,824"
124,Sorry to Bother You,"Jul 6, 2018",Annapurna Pictures,Comedy,"$17,493,096","1,950,177"
125,Chappaquiddick,"Apr 6, 2018",Entertainment Stu…,Thriller/Suspense,"$17,395,521","1,939,299"
126,Forever My Girl,"Jan 19, 2018",Roadside Attractions,Drama,"$16,376,066","1,825,648"
127,Mortal Engines,"Dec 14, 2018",Universal,Action,"$15,767,725","1,757,828"
128,Hunter Killer,"Oct 26, 2018",Lionsgate,Thriller/Suspense,"$15,767,460","1,757,799"
129,The Girl in the Spiderâs Web,"Nov 9, 2018",Sony Pictures,Thriller/Suspense,"$14,828,555","1,653,127"
130,The Possession of Hannah Grace,"Nov 30, 2018",Sony Pictures,Horror,"$14,682,696","1,636,866"
131,RBG,"May 4, 2018",Magnolia Pictures,Documentary,"$14,017,361","1,562,693"
132,Eighth Grade,"Jul 13, 2018",A24,Drama,"$13,539,710","1,509,443"
133,Mary Queen of Scots,"Dec 7, 2018",Focus Features,Drama,"$13,424,885","1,496,642"
134,Call Me by Your Name,"Nov 24, 2017",Sony Pictures Cla…,Drama,"$13,158,311","1,466,924"
135,The Darkest Minds,"Aug 3, 2018",20th Century Fox,Thriller/Suspense,"$12,695,691","1,415,350"
136,All the Money in the World,"Dec 25, 2017",Sony Pictures,Thriller/Suspense,"$12,393,945","1,381,710"
137,Three Identical Strangers,"Jun 29, 2018",Neon,Documentary,"$12,320,845","1,373,561"
138,Upgrade,"Jun 1, 2018",BH Tilt,Thriller/Suspense,"$11,977,130","1,335,243"
139,Padmavati,"Jan 25, 2018",Paramount Pictures,Drama,"$11,846,060","1,320,630"
140,Free Solo,"Sep 28, 2018",Greenwich,Documentary,"$11,447,188","1,276,163"
141,The Old Man and the Gun,"Sep 28, 2018",Fox Searchlight,Comedy,"$11,198,543","1,248,444"
142,Hell Fest,"Sep 28, 2018",CBS Films,Horror,"$11,107,431","1,238,287"
143,Wonder,"Nov 17, 2017",Lionsgate,Drama,"$10,863,515","1,211,094"
144,Welcome to Marwen,"Dec 21, 2018",Universal,Drama,"$10,406,625","1,160,158"
145,The Miracle Season,"Apr 6, 2018",LD Entertainment,Drama,"$10,230,620","1,140,537"
146,Midnight Sun,"Mar 23, 2018",Global Road,Drama,"$9,561,064","1,065,893"
147,Tully,"May 4, 2018",Focus Features,Comedy,"$9,369,755","1,044,566"
148,Traffik,"Apr 20, 2018",Lionsgate,Thriller/Suspense,"$9,186,156","1,024,098"
149,Unfriended: Dark Web,"Jul 20, 2018",OTL Releasing,Horror,"$8,866,745","988,489"
150,Early Man,"Feb 16, 2018",Lionsgate,Adventure,"$8,267,544","921,688"
151,The Wife,"Aug 17, 2018",Sony Pictures Cla…,Drama,"$8,206,930","914,930"
152,The Death of Stalin,"Mar 9, 2018",IFC Films,Black Comedy,"$8,041,828","896,524"
153,Sanju,"Jun 29, 2018",20th Century Fox,Drama,"$7,909,317","881,752"
154,Unsane,"Mar 23, 2018",Bleecker Street,Thriller/Suspense,"$7,690,044","857,307"
155,Can You Ever Forgive Me?,"Oct 19, 2018",Fox Searchlight,Drama,"$7,645,511","852,342"
156,Beautiful Boy,"Oct 12, 2018",Amazon Studios,Drama,"$7,610,815","848,474"
157,Mid90s,"Oct 19, 2018",A24,Drama,"$7,362,439","820,784"
158,Downsizing,"Dec 22, 2017",Paramount Pictures,Comedy,"$7,289,080","812,606"
159,Dog Days,"Aug 8, 2018",LD Entertainment,Romantic Comedy,"$6,809,080","759,094"
160,Boy Erased,"Nov 2, 2018",Focus Features,Drama,"$6,788,692","756,821"
161,Hotel Artemis,"Jun 8, 2018",Global Road,Thriller/Suspense,"$6,708,137","747,841"
162,A.X.L.,"Aug 24, 2018",Global Road,Drama,"$6,501,381","724,791"
163,Fahrenheit 11/9,"Sep 21, 2018",Briarcliffe Enter…,Documentary,"$6,352,306","708,172"
164,Unbroken: Path to Redemption,"Sep 14, 2018",Pure Flix Enterta…,Drama,"$6,216,897","693,076"
165,The Hurricane Heist,"Mar 9, 2018",Entertainment Stu…,Thriller/Suspense,"$6,115,824","681,808"
166,Every Day,"Feb 23, 2018",Orion Pictures,Drama,"$6,112,914","681,484"
167,Leave No Trace,"Jun 29, 2018",Bleecker Street,Drama,"$6,046,104","674,036"
168,Death of a Nation,"Aug 3, 2018",Quality Flix,Documentary,"$5,885,881","656,174"
169,Pandas,"Apr 6, 2018",IMAX Films,Documentary,"$5,757,906","641,907"
170,Godâs Not Dead: A Light in …,"Mar 30, 2018",Pure Flix Enterta…,Drama,"$5,728,940","638,677"
171,Kin,"Aug 31, 2018",Lionsgate,Action,"$5,718,096","637,469"
172,They Shall Not Grow Old,"Dec 17, 2018",Warner Bros.,Documentary,"$5,703,839","635,879"
173,My Hero Academia: Two Heroes,"Sep 25, 2018",FUNimation,Adventure,"$5,427,591","605,082"
174,Colette,"Sep 21, 2018",Bleecker Street,Drama,"$5,126,985","571,570"
175,Action Point,"Jun 1, 2018",Paramount Pictures,Comedy,"$5,059,608","564,059"
176,Beirut,"Apr 11, 2018",Bleecker Street,Action,"$5,019,226","559,556"
177,Gringo,"Mar 9, 2018",STX Entertainment,Black Comedy,"$4,969,853","554,052"
178,Samson,"Feb 16, 2018",Pure Flix Enterta…,Drama,"$4,719,928","526,190"
179,Father Figures,"Dec 22, 2017",Warner Bros.,Comedy,"$4,615,957","514,599"
180,Johnny English Strikes Again,"Oct 26, 2018",Focus Features,Comedy,"$4,412,170","491,881"
181,If Beale Street Could Talk,"Dec 14, 2018",Annapurna Pictures,Drama,"$4,409,248","491,554"
182,Blindspotting,"Jul 20, 2018",Lionsgate,Drama,"$4,333,394","483,099"
183,Gotti,"Jun 15, 2018",Vertical Entertai…,Drama,"$4,286,367","477,855"
184,Ya Veremos,"Aug 31, 2018",Lionsgate,Drama,"$4,165,949","464,431"
185,Simmba,"Dec 28, 2018",Reliance Entertai…,Action,"$4,115,790","458,839"
186,Life Itself,"Sep 21, 2018",Amazon Studios,Drama,"$4,095,431","456,569"
187,Thor: Ragnarok,"Nov 3, 2017",Walt Disney,Action,"$3,833,139","427,328"
188,On the Basis of Sex,"Dec 25, 2018",Focus Features,Drama,"$3,707,849","413,361"
189,Gosnell: The Trial of Ameri…,"Oct 12, 2018",GVN Releasing,Drama,"$3,679,893","410,244"
190,Indivisible,"Oct 26, 2018",Pure Flix Enterta…,Drama,"$3,511,417","391,462"
191,2018 Oscar Shorts,"Feb 9, 2018",ShortsHD,Multiple Genres,"$3,508,777","391,168"
192,Disobedience,"Apr 27, 2018",Bleecker Street,Drama,"$3,480,702","388,038"
193,Justice League,"Nov 17, 2017",Warner Bros.,Action,"$3,478,000","387,737"
194,First Reformed,"May 18, 2018",A24,Thriller/Suspense,"$3,448,256","384,420"
195,"Juliet, Naked","Aug 17, 2018",Roadside Attractions,Romantic Comedy,"$3,444,895","384,046"
196,Bad Samaritan,"May 4, 2018",Electric Entertai…,Thriller/Suspense,"$3,424,744","381,799"
197,The Disaster Artist,"Dec 1, 2017",A24,Comedy,"$3,258,821","363,302"
198,2001: A Space Odyssey,"Apr 2, 1968",MGM,Adventure,"$3,236,321","360,794"
199,The Leisure Seeker,"Mar 9, 2018",Sony Pictures Cla…,Drama,"$3,224,126","359,434"
200,7 Days in Entebbe,"Mar 16, 2018",Focus Features,Thriller/Suspense,"$3,189,220","355,542"
201,The Sisters Brothers,"Sep 21, 2018",Annapurna Pictures,Western,"$3,143,056","350,396"
202,Thoroughbreds,"Mar 9, 2018",Focus Features,Drama,"$3,072,605","342,542"
203,Sgt. Stubby: An American Hero,"Apr 13, 2018",Fun Academy Motio…,Adventure,"$3,054,285","340,500"
204,Whitney,"Jul 6, 2018",Roadside Attractions,Documentary,"$3,026,558","337,408"
205,American Animals,"Jun 1, 2018",The Orchard,Thriller/Suspense,"$2,853,526","318,118"
206,God Bless the Broken Road,"Sep 7, 2018",Freestyle Releasing,Drama,"$2,846,258","317,308"
207,La Boda de Valentina,"Feb 9, 2018",Lionsgate,Romantic Comedy,"$2,783,739","310,339"
208,Bharat Ane Nenu,"Apr 20, 2018",Great India Films,Thriller/Suspense,"$2,663,090","296,888"
209,You Were Never Really Here,"Apr 6, 2018",Amazon Studios,Drama,"$2,523,610","281,338"
210,Ben is Back,"Dec 7, 2018",Roadside Attractions,Drama,"$2,511,840","280,026"
211,Suspiria,"Oct 26, 2018",Amazon Studios,Horror,"$2,483,472","276,864"
212,The Rider,"Apr 13, 2018",Sony Pictures Cla…,Drama,"$2,418,679","269,640"
213,Mary and the Witchâs Flower,"Jan 19, 2018",GKIDS,Adventure,"$2,418,404","269,610"
214,Hearts Beat Loud,"Jun 8, 2018",Gunpowder & Sky,Drama,"$2,386,254","266,026"
215,Papillon,"Aug 24, 2018",Bleecker Street,Drama,"$2,335,896","260,412"
216,Daddyâs Home 2,"Nov 10, 2017",Paramount Pictures,Comedy,"$2,238,062","249,505"
217,Murder on the Orient Express,"Nov 10, 2017",20th Century Fox,Drama,"$2,206,919","246,033"
218,Puzzle,"Jul 27, 2018",Sony Pictures Cla…,Drama,"$2,031,242","226,448"
219,A Fantastic Woman,"Feb 2, 2018",Sony Pictures Cla…,Drama,"$2,019,554","225,145"
220,Pope FrancisâA Man of His W…,"May 18, 2018",Focus Features,Documentary,"$2,008,385","223,900"
221,Assassination Nation,"Sep 21, 2018",Neon,Thriller/Suspense,"$2,005,142","223,538"
222,The Front Runner,"Nov 6, 2018",Sony Pictures,Drama,"$1,994,179","222,316"
223,Detective Chinatown 2,"Feb 16, 2018",Warner Bros.,Action,"$1,983,984","221,180"
224,At Eternityâs Gate,"Nov 16, 2018",CBS Films,Drama,"$1,976,942","220,394"
225,Dunkirk,"Jul 21, 2017",Warner Bros.,Action,"$1,695,119","188,976"
226,Race 3,"Jun 15, 2018",Yash Raj Films,Action,"$1,690,861","188,501"
227,Padman,"Feb 9, 2018",Sony Pictures,Comedy,"$1,662,927","185,387"
228,Shoplifters,"Nov 23, 2018",Magnolia Pictures,Drama,"$1,646,805","183,590"
229,A Private War,"Nov 2, 2018",Aviron Pictures,Drama,"$1,623,111","180,948"
230,The Bookshop,"Aug 24, 2018",Greenwich,Drama,"$1,600,786","178,459"
231,Operation Red Sea,"Feb 23, 2018",Well Go USA,Action,"$1,543,547","172,078"
